jobID,agency,numOfPositions,civilServiceTitle,titleCodeNum,jobCategory,salaryFrom,salaryTo,month,year	
457402,NYC HOUSING AUTHORITY,1,RESIDENT BUILDING SUPERINTENDE,80310,Building Operations & Maintenance,60171.0,93630.0,3,2021	
424645,OFF OF PAYROLL ADMINISTRATION,1,PRINCIPAL ADMINISTRATIVE ASSOC,10124,"Finance, Accounting, & Procurement Policy, Research & Analysis",49390.0,71794.0,12,2019	
183500,LAW DEPARTMENT,1,CLERICAL ASSOCIATE,10251,Clerical & Administrative Support,32086.0,51981.0,2,2015	
356797,NYC HOUSING AUTHORITY,1,COMMUNITY COORDINATOR,56058,Constituent Services & Community Programs,50362.0,78177.0,9,2018	
347589,DEPT OF HEALTH/MENTAL HYGIENE,4,CLERICAL ASSOCIATE,10251,Health,33875.0,54879.0,5,2018	
242175,ADMIN FOR CHILDREN'S SVCS,1,ADMINISTRATIVE STAFF ANALYST (,1002A,"Finance, Accounting, & Procurement",61031.0,95022.0,6,2016	
278063,NYC EMPLOYEES RETIREMENT SYS,1,COMPUTER SPECIALIST (SOFTWARE),13632,"Technology, Data & Innovation",76288.0,95077.0,1,2017	
458604,OFFICE OF THE COMPTROLLER,2,CONTRACT SPECIALIST,40561,"Finance, Accounting, & Procurement",41525.0,50000.0,2,2021	
459069,OFFICE OF MANAGEMENT & BUDGET,1,BUDGET ANALYST (OMB),06088,"Technology, Data & Innovation",62480.0,70291.0,3,2021	
248031,LAW DEPARTMENT,1,COMPUTER ASSOC (SOFTWARE),13631,Information Technology & Telecommunications,64807.0,90202.0,7,2016	
424677,FINANCIAL INFO SVCS AGENCY,1,IT PROJECT SPECIALIST,95710,"Technology, Data & Innovation",75000.0,110000.0,12,2019	
376356,LAW DEPARTMENT,1,CLERICAL ASSOCIATE,10251,Legal Affairs,35330.0,40629.0,12,2018	
376356,LAW DEPARTMENT,1,CLERICAL ASSOCIATE,10251,Legal Affairs,35330.0,40629.0,12,2018	
459293,POLICE DEPARTMENT,1,STAFF ANALYST,12626,Administration & Human Resources,58152.0,74479.0,3,2021	
456028,OFFICE OF MANAGEMENT & BUDGET,1,BUDGET ANALYST (OMB),06088,"Finance, Accounting, & Procurement Policy, Research & Analysis Social Services",46856.0,62480.0,12,2020	
456045,DEPT OF YOUTH & COMM DEV SRVS,1,COMMUNITY COORDINATOR,56058,"Finance, Accounting, & Procurement",54100.0,83981.0,2,2021	
457043,NYC HOUSING AUTHORITY,1,EXECUTIVE AGENCY COUNSEL,95005,"Legal Affairs Policy, Research & Analysis",58700.0,130000.0,2,2021	
458313,POLICE DEPARTMENT,1,SENIOR POLICE ADMINISTRATIVE A,10147,Administration & Human Resources,43929.0,57093.0,3,2021	
430249,DEPT OF HEALTH/MENTAL HYGIENE,1,COMMUNITY COORDINATOR,56058,Health,54100.0,70000.0,1,2021	
